Date,Open,High,Low,Close
10/10/2022,"32.9700","33.4500","32.2500","32.4700"
10/09/2022,"32.7700","33.1200","32.3700","32.9700"
10/08/2022,"33.0100","33.1300","32.6500","32.7700"
10/07/2022,"33.7000","33.7600","32.4100","33.0100"
10/06/2022,"33.7200","34.4900","33.5600","33.7000"
10/05/2022,"34.2100","34.3500","33.1800","33.7200"
10/04/2022,"33.2000","34.4000","32.7600","34.2300"
10/03/2022,"32.6000","33.2100","31.8000","33.2000"
10/02/2022,"32.5800","32.9900","32.1400","32.6000"
10/01/2022,"33.3500","33.3700","32.3700","32.5800"
09/30/2022,"34.0300","35.2000","33.1500","33.2000"
09/29/2022,"33.5000","34.4100","32.6400","34.0300"
09/28/2022,"32.6400","33.7700","31.6600","33.5000"
09/27/2022,"33.4400","35.3900","32.1500","32.6400"
09/26/2022,"32.4900","33.9500","31.8900","33.3700"
09/25/2022,"33.8600","34.0200","32.4700","32.4900"
09/24/2022,"32.6500","34.7800","32.6500","33.8600"
09/23/2022,"32.3300","33.2700","31.2300","32.5700"
09/22/2022,"31.5300","32.8400","30.0700","32.3300"
09/21/2022,"31.7000","33.3900","31.1000","31.5300"
